,inv_num,date_year,date_winter,date_month,date_Monday,date_Saturday,date_Sunday,date_Thursday,date_Tuesday,date_Wednesday,date_morning,date_afternoon,date_evening,loc_latitude,loc_longitude,loc_North York,loc_Scarborough,loc_Toronto and East York,loc_Bay Street Corridor (76),loc_Rouge (131),loc_Waterfront Communities-The Island (77),loc_West Humber-Clairville (1),loc_Wexford/Maryvale (119),loc_Woburn (137),loc_dundas,loc_steeles,loc_finch,loc_lawrence,loc_lake shore,loc_queen,loc_clair,loc_sheppard,loc_bloor,loc_gardiner,loc_victoria,loc_don mills,loc_don valley,loc_king,env_no_traffic_control,env_intersection,env_major_arterial,env_daylight,env_precipitation,inv_cyclist,inv_pedestrian,inv_automobile,inv_passenger,inv_injury_level,inv_fatal_acc,cau_normal,cau_inattentive,cau_driving_properly,cau_failed_to_yield_row,cau_speeding,cau_agressive_driv,cau_going_ahead,cau_turning_left
69,6,2006,0,4,0,1,0,0,0,0,0,0,0,43.638745,-79.39129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
70,6,2006,0,4,0,1,0,0,0,0,0,0,0,43.638745,-79.39129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
71,6,2006,0,4,0,1,0,0,0,0,0,0,0,43.638745,-79.39129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,1,2,0,1,0,1,0,0,1,0,0
72,6,2006,0,4,0,1,0,0,0,0,0,0,0,43.638745,-79.39129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
73,6,2006,0,4,0,1,0,0,0,0,0,0,0,43.638745,-79.39129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,1,0,0,1,0,1,0,0,1,1,0
74,2,2006,0,4,0,0,1,0,0,0,0,0,1,43.713045,-79.33579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3.4,0,0,1,0,2,0,0,0,0,0,0,0,1,0
75,2,2006,0,4,0,0,1,0,0,0,0,0,1,43.713045,-79.33579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,2,2006,0,4,1,0,0,0,0,0,0,1,0,43.656345,-79.45249,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3.6,0,1,1,0,0,0,1,0,1,0,0,0,1,0
77,2,2006,0,4,1,0,0,0,0,0,0,1,0,43.656345,-79.45249,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3.6,0,1,1,0,2,0,1,0,0,0,0,0,0,0
78,2,2006,0,4,0,0,0,0,1,0,0,0,0,43.732745,-79.35559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
